latitude,longitude,altitude,geometry,coordinates,avspeed,distance,duration,endtime,maxspeed,minspeed,starttime,streetnames,taxiid,tripid
,,,LineString,"-8.58565,41.1486,-8.5857,41.1487,-8.58581,41.149,-8.58681,41.1491,-8.58899,41.1497,-8.59144,41.1503,-8.59335,41.1509,-8.59342,41.1509,-8.59268,41.1514,-8.59132,41.1533,-8.59109,41.1551,-8.59001,41.1556,-8.58622,41.1556,-8.5839,41.156,-8.58093,41.1561,-8.5",29.6790532,2970.688771,345,10/1/2013 0:21,76.15297303,0,10/1/2013 0:15,"Rua da Estacao,Rua do Falcao,Rua do Falcao,Rua da Estacao,Rua das Escolas,Rua de Pinto Bessa,Largo da Estacao,Rua de Pinto Bessa,Rua do Bonfim,Rua de Pinto Bessa,Rua de Pinto Bessa,Praca da Corujeira,Rua do Bonfim,Rua do Bonfim,Praca da Corujeira,Avenida 25 de Abril,Avenida 25 de Abril,Avenida 25 de Abril,Praca da Corujeira,Avenida 25 de Abril,Avenida 25 de Abril,Rua Cecilia Meireles,Rua Cecilia Meireles,Rua Cecilia Meireles",20000626,417173
,,,LineString,"-8.62897,41.161,-8.62856,41.1608,-8.62865,41.16,-8.62921,41.1589,-8.63005,41.1585,-8.63003,41.1573,-8.63005,41.1572,-8.63007,41.1572,-8.63005,41.1572,-8.63004,41.1572,-8.63001,41.1572,-8.63004,41.1572,-8.62924,41.157,-8.62876,41.157,-8.62848,41.1569,-8.62",19.50838144,3090.300264,555,10/1/2013 0:41,51.08605173,0,10/1/2013 0:32,"Praca de Mouzinho de Albuquerque,Rua de Julio Dinis,Rua da Meditacao,Rua da Meditacao,Praca de Mouzinho de Albuquerque,Rua da Meditacao,Rua de Agramonte,Praca de Mouzinho de Albuquerque,Praca de Mouzinho de Albuquerque,Praca de Mouzinho de Albuquerque,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Julio Dinis,Rua de Dom Manuel II,Rua de Dom Manuel II,Rua Doutor Alberto Aires de Gouveia,Rua de Dom Manuel II,Praca da Liberdade,Rua Professor Vicente Jose de Carvalho,Praca da Liberdade,Rua Doutor Alberto Aires de Gouveia,Praca da Liberdade,Rua Campo dos Martires da Patria,Rua Campo dos Martires da Patria,Praca da Liberdade,Rua dos Clerigos,Rua Campo dos Martires da Patria,IP3,Praca da Liberdade,Praca de Mouzinho de Albuquerque,Praca de Mouzinho de Albuquerque,Avenida da Franca,Avenida da Franca,Rua do Capitao Henrique Galvao",20000617,417179
,,,LineString,"-8.60411,41.1611,-8.60386,41.1616,-8.60384,41.1616,-8.60389,41.1618,-8.6062,41.1621,-8.60901,41.1625,-8.6095,41.1617,-8.60961,41.1616,-8.60989,41.1609,-8.60993,41.1588,-8.61,41.1576,-8.61008,41.1571,-8.61007,41.1557,-8.61001,41.1534,-8.61035,41.1513,-8.61",26.91707161,2419.39094,315,10/1/2013 0:17,61.39138943,0.401825869,10/1/2013 0:12,"Avenida dos Aliados,Avenida dos Aliados,Avenida dos Aliados,Praca do Marques de Pombal,Praca do Marques de Pombal,Praca do Marques de Pombal,Avenida dos Aliados,Rua de Camoes,Rua da Constituicao,Rua de Camoes,Rua do Cantor Zeca Afonso,Rua da Constituicao,Rua de Camoes,Rua de Sao Bras,Rua de Sao Bras,Rua de Sao Bras,Avenida dos Aliados,Avenida dos Aliados,Rua de Camoes,Rua dos Herois e dos Martires de Angola,Rua de Camoes,Praca da Liberdade",20000269,417180
,,,LineString,"-8.5703,41.1585,-8.57099,41.1578,-8.57195,41.1582,-8.57178,41.1595,-8.57418,41.1614,-8.57625,41.1643,-8.57759,41.1658,-8.57892,41.1647,-8.58123,41.1645,-8.58322,41.1663,-8.5872,41.1673,-8.59144,41.1698,-8.59505,41.1719,-8.5996,41.1713,-8.60397,41.1716,-8.",38.53443853,6745.58562,630,10/1/2013 0:20,108.1963274,0,10/1/2013 0:10,"Rua Ciclames,Rua Engenheiro Carlos Amarante,Rua do Amial,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Circular Regional Interna do Porto,Rua Avelar Brotero,Via Norte,Rua Jorge Gigante,Circular Regional Interna do Porto,Via Norte,Circular Regional Interna do Porto,Rua de Avelar Brotero,Rua Avelar Brotero,Rua Engenheiro Carlos Amarante,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Avelar Brotero,Rua Magnolias,Rua Avelar Brotero,Rua Avelar Brotero,Rua Engenheiro Carlos Amarante,Rua Jorge Gigante,Rua de Avelar Brotero,Alameda de Cartes,Rua Conde Castelo Melhor,Rua das Linhas de Torres,Rua das Linhas de Torres,Alameda de Cartes,Rua do Cerco do Porto,Alameda de Cartes,Rua do Cerco do Porto,Rua do Cerco do Porto",20000367,417183
,,,LineString,"-8.61282,41.1404,-8.61359,41.1403,-8.61466,41.1404,-8.61518,41.1403,-8.6161,41.1405,-8.61603,41.1406,-8.61496,41.141,-8.61458,41.1416,-8.61428,41.1421,-8.61293,41.1434,-8.61134,41.1447,-8.61133,41.1449,-8.61103,41.1448,-8.61105,41.1448,-8.61106,41.1449,-8",17.14504365,3426.249641,705,10/1/2013 0:38,47.16597493,0,10/1/2013 0:26,"Rua Trindade Coelho,Rua de Mouzinho da Silveira,Cais da Estiva,Praca Ribeira,Rua de Mouzinho da Silveira,Largo Terreiro,Rua do Infante Dom Henrique,Rua do Infante Dom Henrique,Rua de Mouzinho da Silveira,Rua do Infante Dom Henrique,Rua da Reboleira,Rua de Sa da Bandeira,Rua do Almada,Rua de 31 de Janeiro,Rua Trindade Coelho,Rua do Corpo da Guarda,Rua do Corpo da Guarda,Rua do Corpo da Guarda,Rua de Sa da Bandeira,Rua do Almada,Rua de Sa da Bandeira,Rua de Sa da Bandeira,Rua de Sa da Bandeira,Praca da Republica,Rua de Sa da Bandeira,Rua de Sa da Bandeira,Rua de Santa Catarina,Rua de Sa da Bandeira,Rua de Goncalo Cristovao,Rua de Goncalo Cristovao,Praca da Republica,Rua de Sa da Bandeira,Rua de Sa da Bandeira,Praca da Republica,Rua de Goncalo Cristovao,Rua de Goncalo Cristovao,Viaduto de Goncalo Cristovao,Praca da Republica,Rua de Goncalo Cristovao,Praca General Humberto Delgado,Praca General Humberto Delgado,Rua do Almada,Rua do Almada,Rua do Almada,Rua do Almada,Rua do Almada,Rua do Almada,Praca General Humberto Delgado",20000483,417191
,,,LineString,"-8.61283,41.1407,-8.61296,41.1407,-8.61287,41.1406,-8.61284,41.1405,-8.61285,41.1405,-8.61415,41.1403,-8.61487,41.1403,-8.61586,41.1403,-8.6156,41.1407,-8.61455,41.1412,-8.61444,41.1421,-8.61345,41.1434,-8.61197,41.1445,-8.61133,41.1449,-8.61109,41.145,-8",18.67467736,2017.98948,375,10/1/2013 0:49,42.95117146,0.20096167,10/1/2013 0:43,"Rua do General Sousa Dias,Rua de Saraiva de Carvalho,Rua Bitaraes,Rua de Saraiva de Carvalho,Rua do Corpo da Guarda,Rua Cima do Muro,Rua de Mouzinho da Silveira,Rua de Mouzinho da Silveira,Praca Ribeira,Rua de Mouzinho da Silveira,Rua de Mouzinho da Silveira,Praca Ribeira,Praca Ribeira,Rua de Mouzinho da Silveira,Rua do Infante Dom Henrique,Cais da Estiva,Praca Ribeira,Muro dos Bacalhoeiros,Rua da Reboleira,Praca da Batalha,Central de Camionagem da Batalha,Praca da Batalha,Rua de Alexandre Herculano,Praca da Batalha,Rua da Madeira,Praca da Batalha",20000675,417196
,,,LineString,"-8.6132,41.1544,-8.61326,41.1543,-8.61313,41.1538,-8.61201,41.154,-8.61192,41.1554,-8.6118,41.1569,-8.61042,41.1572,-8.61013,41.1572,-8.61011,41.1572,-8.60925,41.1574,-8.60845,41.1591,-8.60798,41.1601,-8.60792,41.1605,-8.6076,41.161,-8.60753,41.161,-8.607",14.31696172,1668.98877,405,10/1/2013 0:56,48.13084613,0.200911402,10/1/2013 0:49,"Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua do Paraiso,Rua do Paraiso,Rua de Fonseca Cardoso,Rua do Paraiso,Rua da Regeneracao,Praca da Republica,Praca da Republica,Praca da Republica,Praca da Republica,Rua do Cantor Zeca Afonso,Rua da Constituicao,Travessa dos Campos,Rua de Joao Pedro Ribeiro,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua de Joao Pedro Ribeiro,Rua de Joao Pedro Ribeiro,Rua da Constituicao,Rua de Faria Guimaraes,Travessa de Antero de Quental,Rua de Faria Guimaraes,Travessa da Senhora da Conceicao,Travessa da Senhora da Conceicao,Travessa de Antero de Quental",20000367,417201
,,,LineString,"-8.61646,41.1473,-8.61656,41.1472,-8.61699,41.1472,-8.61766,41.1472,-8.61803,41.1476,-8.61864,41.1486,-8.61971,41.1484,-8.62057,41.1487,-8.62068,41.149,-8.62095,41.1504,-8.62115,41.1507,-8.62123,41.1515,-8.62071,41.1526,-8.62099,41.154,-8.6208,41.1554,-8.",22.19789462,3606.839629,570,10/1/2013 0:12,78.33320968,0,10/1/2013 0:03,"Rua Professor de Abel Salazar,Rua de Faria Guimaraes,Rua Sacadura Cabral,Avenida Liberdade,Avenida Liberdade,Rua da Regeneracao,Rua de Anibal Cunha,Rua do Carmo,Rua de Anibal Cunha,Rua do Carmo,Rua Sacadura Cabral,Rua do Carmo,Rua de Alvares Cabral,Rua da Regeneracao,Praca da Republica,Praca da Republica,Rua de Alvares Cabral,Rua de Alvares Cabral,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua Central de Arcos,Rua da Regeneracao,Rua do Paraiso,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua de Faria Guimaraes,Rua do Rosario,Rua de Bolama,Rua Professor Vicente Jose de Carvalho,Rua de Bolama,Rua de Faria Guimaraes,Rua do Covelo,Rua do Rosario,Rua do Rosario,Rua de Clemente Meneres,Rua do Rosario,Rua Professor Jaime Rios de Sousa,Rua do Rosario",20000037,417202
,,,LineString,"-8.62089,41.153,-8.62097,41.1522,-8.62222,41.1512,-8.62294,41.1502,-8.62269,41.1487,-8.62258,41.148,-8.62241,41.1478,-8.62053,41.1473,-8.62035,41.1469,-8.62019,41.1463,-8.61826,41.1463,-8.61747,41.1456,-8.61629,41.1451,-8.61419,41.146,-8.6125,41.146,-8.61",23.99242732,2337.496401,345,10/1/2013 0:37,48.55801894,0.200960751,10/1/2013 0:31,"Rua de Adolfo Casais Monteiro,Rua de Adolfo Casais Monteiro,Rua de Adolfo Casais Monteiro,Rua da Maternidade,Rua de Anibal Cunha,EM615,Praca da Liberdade,Rua Doutor Alberto Aires de Gouveia,Rua Doutor Alberto Aires de Gouveia,Rua Doutor Alberto Aires de Gouveia,Rua de Dom Manuel II,Praca da Liberdade,Rua dos Clerigos,Rua B,Rua Campo dos Martires da Patria,Rua De Azevedo De Albuquerque,Rua Campo dos Martires da Patria,Praca da Liberdade,Praca de Almeida Garrett,Rua de Mouzinho da Silveira,Rua de Mouzinho da Silveira,Largo Sao Domingos,Rua de Mouzinho da Silveira,Largo Sao Domingos",20000231,417204
,,,LineString,"-8.58425,41.1632,-8.58477,41.163,-8.58664,41.1635,-8.58866,41.1641,-8.58896,41.1642,-8.58921,41.1643,-8.5896,41.1641,-8.59029,41.1633,-8.59178,41.1617,-8.59323,41.1606,-8.5952,41.1607,-8.59793,41.1611,-8.59806,41.1611,-8.59883,41.1612,-8.60009,41.1613,-8.",19.91908171,1992.838816,345,10/1/2013 0:29,55.87890241,0.602739723,10/1/2013 0:24,"Rua da Constituicao,Rua da Constituicao,Praca do Marques de Pombal,Rua da Constituicao,Rua da Constituicao,Rua da Constituicao,Via Futebol Clube do Porto,Rua da Constituicao,Via Futebol Clube do Porto,Via Futebol Clube do Porto,Via Futebol Clube do Porto,Via Futebol Clube do Porto,Rua Carlos Malheiro Dias,Via Futebol Clube do Porto,Avenida de Fernao de Magalhaes,Rua Carlos Malheiro Dias,Avenida de Fernao de Magalhaes,Rua Carlos Malheiro Dias,Avenida de Fernao de Magalhaes,Rua Nova de Sao Crispim,Praca do Marques de Pombal,Praca do Marques de Pombal,Rua da Constituicao,Rua da Constituicao",20000376,417205
,,,LineString,"-8.64082,41.16,-8.64101,41.16,-8.6414,41.1602,-8.64006,41.1611,-8.63793,41.1618,-8.63581,41.1626,-8.63388,41.1634,-8.6327,41.1623,-8.63258,41.1621,-8.63256,41.1621,-8.63174,41.1624,-8.62955,41.1634,-8.62768,41.1635,-8.62763,41.1635,-8.62608,41.1634,-8.623",35.12786605,7693.538554,780,10/1/2013 0:20,64.74102163,0.401822803,10/1/2013 0:07,"Rua de Domingos Sequeira,Rua de Domingos Sequeira,Avenida da Boavista,Rua de Pedro Hispano,Rua de 5 de Outubro,Avenida da Boavista,Rua de Pedro Hispano,Rua de Pedro Hispano,Avenida de Sidonio Pais,Rua de Pedro Hispano,Rua de Domingos Sequeira,Rua de Domingos Sequeira,Rua de Sao Bras,Rua de Egas Moniz,Rua de Domingos Sequeira,Rua de Egas Moniz,Rua de Egas Moniz,Rua da Quinta Amarela,Rua de Domingos Sequeira,Rua de Damiao de Gois,Rua de Sao Bras,Rua de Egas Moniz,Rua de Damiao de Gois,Rua de Camoes,Rua 1,Ponte do Infante,Rua de Saraiva de Carvalho,Rua de Alexandre Herculano,Rua do Corpo da Guarda,Rua do Doutor Alfredo Magalhaes,Rua Cha,Rua de Camoes,Praca de Almeida Garrett,Rua de Camoes,Praca da Liberdade,Avenida dos Aliados,Rua dos Herois e dos Martires de Angola,Avenida dos Aliados,Rua do General Sousa Dias,Rua de Alexandre Herculano,Avenida Dom Joao II,Ponte do Infante,Avenida Dom Joao II,Rua 14 Outubro,Rua 14 Outubro,Rua 14 Outubro,Rua Goncalves Zarco,Rua Rodrigues de Freitas,Alameda Serra do Pilar,Alameda Serra do Pilar,Praceta 25 de Abril,Rua Camelias,Rua Camelias",20000431,417206
